week_start,week_label,month,segment,leads_from_ads,trial_lessons,contracts_signed,cr_lead_to_trial_pct,cr_trial_to_contract_pct,new_students_this_week,groups_starting_this_week,note
2025-03-31,Тиж.1 Квіт.,2025-04,B2B,22,8,4,36.4,50.0,28,0,
2025-03-31,Тиж.1 Квіт.,2025-04,B2C,4,1,0,25.0,0.0,0,0,
2025-04-07,Тиж.2 Квіт.,2025-04,B2B,28,12,6,42.9,50.0,38,0,
2025-04-07,Тиж.2 Квіт.,2025-04,B2C,5,2,1,40.0,50.0,4,0,
2025-04-14,Тиж.3 Квіт.,2025-04,B2B,35,16,8,45.7,50.0,48,4,Старт 4 нових груп BS
2025-04-14,Тиж.3 Квіт.,2025-04,B2C,6,2,1,33.3,50.0,4,0,
2025-04-21,Тиж.4 Квіт.,2025-04,B2B,42,18,9,42.9,50.0,36,2,
2025-04-21,Тиж.4 Квіт.,2025-04,B2C,7,3,1,42.9,33.3,4,1,
2025-04-28,Тиж.5/Трав.1,2025-05,B2B,38,17,8,44.7,47.1,32,2,T017 нові групи BS
2025-04-28,Тиж.5/Трав.1,2025-05,B2C,6,2,1,33.3,50.0,5,1,
2025-05-05,Тиж.2 Трав.,2025-05,B2B,28,12,6,42.9,50.0,24,2,"T018 BS, T019 BC1"
2025-05-05,Тиж.2 Трав.,2025-05,B2C,5,2,1,40.0,50.0,4,1,T018 ITS
2025-05-12,Тиж.3 Трав.,2025-05,B2B,22,10,5,45.5,50.0,20,1,T020 BC1
2025-05-12,Тиж.3 Трав.,2025-05,B2C,4,2,1,50.0,50.0,4,1,T016 ITB
2025-05-19,Тиж.4 Трав.,2025-05,B2B,18,8,4,44.4,50.0,16,0,
2025-05-19,Тиж.4 Трав.,2025-05,B2C,3,1,0,33.3,0.0,0,0,
